OID_,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,Shape_Area,district,longitude,latitude
0,1/4/010,Sindhupalchowk.kmz/Sindhupalchowk/1/4,1,0,0.0,-1,0,,,0.0104453333687,2.80049694255e-06,Sindhupalchowk,85.52575522358639,27.93231846187513
0,2/1/016,Sindhupalchowk.kmz/Sindhupalchowk/2/1,0,0,0.0,-1,0,,,0.00596867735393,6.01511320621e-07,Sindhupalchowk,85.49275708552011,27.928848315656797
0,5/25/016,Sindhupalchowk.kmz/Sindhupalchowk/5/25,0,0,0.0,-1,0,,,0.00575368945483,4.8867475118e-07,Sindhupalchowk,85.49642154958806,27.949571988495144
0,12/18/014,Sindhupalchowk.kmz/Sindhupalchowk/12/18,1,0,0.0,-1,0,,,0.00193511915817,1.6645349428e-07,Sindhupalchowk,85.65423982257364,27.89589661141625
0,12/18/014,Sindhupalchowk.kmz/Sindhupalchowk/12/18,1,0,0.0,-1,0,,,0.00159988438548,8.97463532215e-08,Sindhupalchowk,85.654337526867,27.894905435183574
0,12/18/014,Sindhupalchowk.kmz/Sindhupalchowk/12/18,1,0,0.0,-1,0,,,0.00175783606138,1.11558743294e-07,Sindhupalchowk,85.65435942769201,27.895515957902592
0,12/18/014,Sindhupalchowk.kmz/Sindhupalchowk/12/18,1,0,0.0,-1,0,,,0.00223179669906,1.46674090198e-07,Sindhupalchowk,85.65486794408734,27.89517058691532
0,12/18/014,Sindhupalchowk.kmz/Sindhupalchowk/12/18,1,0,0.0,-1,0,,,0.00137197251325,1.04668047313e-07,Sindhupalchowk,85.6540333259118,27.897213316043036
0,2/1/016,Sindhupalchowk.kmz/Sindhupalchowk/2/1,0,0,0.0,-1,0,,,0.0009703663852,6.06968497577e-08,Sindhupalchowk,85.59196937552156,27.798237792823688
0,5/25/015,Sindhupalchowk.kmz/Sindhupalchowk/5/25,0,0,0.0,-1,0,,,0.00257054732871,2.74539795489e-07,Sindhupalchowk,85.47845186720527,27.869873786404366
0,5/2/015,Sindhupalchowk.kmz/Sindhupalchowk/5/2,2,0,0.0,-1,0,,,0.00231647167763,9.81037588572e-08,Sindhupalchowk,85.51882501382117,27.908733139451268
0,5/2/015,Sindhupalchowk.kmz/Sindhupalchowk/5/2,2,0,0.0,-1,0,,,0.00284389847258,3.22581818326e-07,Sindhupalchowk,85.51832222615202,27.905404850332328
0,1/12/010,Sindhupalchowk.kmz/Sindhupalchowk/1/12,2,0,0.0,-1,0,,,0.00435194424135,7.04092050185e-07,Sindhupalchowk,85.49176179383343,27.83785205972959
0,10/28/012,Sindhupalchowk.kmz/Sindhupalchowk/10/28,2,0,0.0,-1,0,,,0.00542214779155,1.51214139541e-06,Sindhupalchowk,85.47786590787275,27.837040475776536
0,10/1/014,Sindhupalchowk.kmz/Sindhupalchowk/10/1,2,0,0.0,-1,0,,,0.00297164105409,2.64956038125e-07,Sindhupalchowk,85.47612192651859,27.868586870976166
