sample_id,longitude,latitude,Slope,Elevation,Aspect_sin,Aspect_cos,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,landslide
bg_371,85.88928253297483,27.906432975028604,41.3633918762207,2468.0,-0.5617176391699242,-0.8273290118479871,0.4858015179634094,10.0,4.404165267944336,2591.138745802702,0.0,14.928530959636538,0
bg_343,85.60227079969864,28.016656260390068,44.465553283691406,2127.0,-0.4857303379929027,-0.8741087110613305,0.6834866404533386,10.0,4.835017204284668,5790.077719685635,1261.4277624977185,14.72862742181658,0
bg_799,85.85694318274652,27.850108606714308,18.058292388916016,1868.0,0.9545991231405074,0.2978934609879418,0.304347813129425,30.0,5.2028632164001465,2066.518811915343,30.0,15.56242023022804,0
bg_758,85.6974023882869,27.808606440587987,19.39430427551269,1593.0,0.2599304144758964,0.9656273502911922,0.5690561532974243,10.0,4.6042256355285645,7260.061983206479,67.0820393249937,15.316275960897803,0
bg_846,85.57774679244218,27.83717286662299,9.746249198913574,822.0,-0.9591987305538081,0.28273272768458013,0.3846153914928436,80.0,4.647837162017822,0.0,30.0,14.946517055010688,0
bg_294,85.92081339944743,27.96706925670667,40.15177154541016,3221.0,-0.8038443459789906,-0.5948396989421679,0.3676108419895172,30.0,3.810092926025391,3139.697437652233,1019.1172650877818,15.158837248129393,0
563,85.77367538986896,28.01646392044016,44.52534103393555,2310.0,0.9321466493498278,0.36208096346796403,0.7348942756652832,10.0,4.903069972991943,600.0,980.866963456309,14.42861366114555,1
780,85.90034007509446,27.8067256496828,27.44286155700684,1013.0,0.07048358675780586,-0.9975129392633235,0.4625758528709411,30.0,4.941662311553955,617.7378084592201,210.0,14.236660540603417,1
649,85.74617712181447,28.061684211608355,27.52303504943848,2873.0,0.950521365938653,-0.3106591909055924,0.5796642899513245,10.0,4.903069972991943,429.5346318982906,807.7747210701756,15.3037612882392,1
bg_1057,85.57666881410124,27.923141639313226,31.241090774536133,1746.0,-0.845661591865369,0.5337194694253995,0.8265466094017029,10.0,5.441863059997559,2181.9715855161817,540.8326913195983,14.876034175200887,0
bg_936,85.78903054726709,27.97192015924092,60.42717361450195,1906.0,0.9984800312354714,0.055114673400213976,0.3656958043575287,30.0,4.540307521820068,644.1273166075166,1370.8391590555036,13.835169494704532,0
650,85.74725299378082,28.05965288131207,27.23262596130371,2879.0,0.9980193403859053,-0.06290783906384281,0.5885381698608398,30.0,4.903069972991943,445.9820624195552,764.8529270389178,15.810959827895108,1
bg_446,85.81220708159738,28.185359870747718,52.69932556152344,6092.0,0.6295982033326966,0.7769209112646155,-0.060496911406517,70.0,3.266342878341675,12111.420230509715,7950.679216268255,15.3552071310777,0
862,85.46768493008226,27.84127980333872,33.763973236083984,1657.0,-0.7119760418111055,-0.7022037566739379,0.7750659584999084,10.0,4.804811000823975,8294.118397997463,60.0,14.80933505588837,1
841,85.47878427620259,27.8713217932034,23.603679656982425,1894.0,-0.37716403691421885,-0.9261464728964689,0.4274410605430603,10.0,4.607892036437988,6570.0,0.0,15.113759351451185,1
bg_202,85.84373794806997,27.900773588738648,50.84454345703125,2044.0,-0.5369489477033996,-0.843614738823482,0.4406504034996032,10.0,4.632851600646973,4896.52938314476,192.09372712298543,14.430519922999986,0
bg_876,85.56373307400992,28.031208967992804,20.160139083862305,3625.0,0.9990274905927802,0.04409164365151799,0.7269779443740845,10.0,4.726099014282227,9960.948749993646,1113.642671596235,15.68358001262994,0
bg_955,85.53220220753732,27.954403011200583,27.20993995666504,2027.0,0.9980154768535292,0.06296910322390505,0.8326522707939148,10.0,4.987441062927246,3102.208890452092,90.0,14.762003205001882,0
bg_120,85.82702928378535,28.124184599899174,48.87601852416992,4376.0,0.993587312245617,-0.11306747076206622,0.0301174800843,60.0,3.67387318611145,10068.788407747974,1047.8549517943788,15.392414792221349,0
323,85.66794677634589,27.82921700835482,33.41560363769531,1556.0,0.9987952928557368,0.0490709992686411,0.5759243369102478,10.0,4.6042256355285645,8318.281072433174,276.5863337187866,14.85484252812353,1
527,85.76020112571541,27.910630219286123,43.120872497558594,1660.0,0.606404798590524,0.7951560980376029,0.6271013617515564,30.0,4.774409770965576,720.0,90.0,14.246799257760031,1
901,85.65846246484536,27.838729341440715,40.78830337524414,2090.0,-0.10608516518894497,-0.9943570474064305,0.699577271938324,10.0,4.6042256355285645,6833.944688099253,189.7366596101028,14.835759678281027,1
bg_858,85.80924264115978,27.716978281607798,31.26317405700684,1485.0,-0.9637995019417256,0.26662805564471603,0.7131456732749939,10.0,5.668778419494629,2135.9073013593074,180.0,14.635854052299823,0
1382,85.511195778223,28.024870628685484,48.6643180847168,3212.0,-0.0806529558222545,-0.9967422438710689,0.4373411536216736,30.0,4.541608810424805,10867.497412007971,952.9428104561156,15.035599301539625,1
bg_68,85.76531502376633,27.940119798183083,58.55023193359375,1798.0,0.011206613600188257,-0.9999372039341351,0.3463265597820282,60.0,4.540307521820068,1314.8764200486676,241.86773244895647,13.781694076725326,0
9,85.58133491666376,28.03222396008928,23.619983673095703,2877.0,0.6290558514324589,-0.7773601068864958,0.412037044763565,30.0,4.835017204284668,8623.004116895689,1221.1879462228571,15.701460029340591,1
bg_668,85.89224697341243,27.71482232492591,42.2835807800293,1457.0,0.6836443926637608,0.7298152809988276,0.6423469185829163,10.0,4.780183792114258,5020.76687369569,84.8528137423857,14.309444969273637,0
bg_616,85.77582531259053,28.104780989762197,29.99391365051269,4051.0,0.5404943893571386,-0.841347618451169,0.2467124611139297,100.0,4.430944442749023,4493.695583815174,1148.2595525402785,15.76574724999332,0
bg_681,85.89009101673054,27.843640736668647,43.48078918457031,1824.0,-0.7142780099795083,-0.6998620753117812,0.4572614133358001,30.0,4.941662311553955,780.0,617.7378084592201,14.54084930112974,0
bg_423,85.890630005901,27.97192015924092,37.88697052001953,3560.0,0.9893395672454258,-0.1456269916005735,0.3846153914928436,30.0,3.810092926025391,6100.262289442971,458.91175622335066,15.46690440670327,0
778,85.89358509512994,27.80428842915728,36.39598846435547,948.0,-0.918562405567901,-0.3952759884907139,0.6087836027145386,10.0,4.941662311553955,0.0,67.0820393249937,14.064155716704684,1
502,85.50575946250426,27.89195168075316,35.54118347167969,1387.0,-0.0769148824654844,-0.9970376627065403,0.5678946375846863,10.0,4.607892036437988,3570.0,30.0,14.424517348887544,1
bg_152,85.6222133990061,27.799443624689967,31.127552032470703,1409.0,1.0,6.123233995736766e-17,0.5790621638298035,10.0,4.361113548278809,4713.438235513434,134.1640786499874,14.663209744055328,0
441,85.57017066636662,27.968613986350125,48.49820709228516,2381.0,0.4864999835023144,-0.8736805858277085,0.4561124145984649,10.0,4.808651447296143,3721.9349806249975,42.42640687119285,14.53070039420817,1
bg_928,86.02349083642228,27.756054996466997,74.67436218261719,3021.0,-0.6667387594532026,-0.7452915044751312,0.2206179946660995,60.0,4.0183281898498535,10967.041533613336,1073.3126291998992,14.262210318506112,0
1290,85.67579129497496,27.763836944407387,40.4422492980957,889.0,-0.7297460923662095,-0.6837182465579281,0.5125703811645508,10.0,4.263062000274658,4941.902467673761,210.0,13.780837159243456,1
bg_424,85.5561872256233,28.126071061995827,22.554636001586918,4392.0,-0.3535552596403312,-0.9354136402579653,0.1898395717144012,70.0,4.091997146606445,8367.84918602146,2186.915636232912,16.11687374059685,0
37,85.92928327639954,27.808474364682205,29.585878372192383,1756.0,0.06446951046084909,0.9979196772390744,0.6956688165664673,10.0,4.941662311553955,3408.005281686048,94.8683298050514,14.956436829959058,1
496,85.55142322694549,27.82229171521181,23.72963523864746,1561.0,0.9993217276713893,-0.03682505402398895,0.7907654047012329,30.0,4.967405796051025,2106.418761785035,67.0820393249937,15.086750901336954,1
bg_520,86.0469368653378,27.905085502102423,26.08423614501953,3991.0,-0.9728433812893424,-0.231464371948512,0.3011060953140259,30.0,4.051556587219238,11596.697805841108,318.9043743820395,15.91351660979832,0
1124,85.673231618731,27.99088260909289,43.08504867553711,2003.0,-0.6272157252410286,-0.7788455777690276,0.4833728075027466,10.0,4.758371829986572,4377.2251484245135,60.0,14.718995469787862,1
bg_478,85.58987404877779,27.99240174771884,35.69387435913086,2528.0,0.38277212946411837,0.9238427879815397,0.8112464547157288,10.0,4.835017204284668,5208.781047423668,657.9513659838393,14.89626772117106,0
734,85.76488368611855,27.71864215328992,36.5323600769043,985.0,0.44429912505355507,0.8958785003987122,0.6341681480407715,10.0,4.70947265625,318.9043743820395,216.33307652783927,14.206089642502183,1
1084,85.63053934779535,27.976817397656102,35.21023941040039,1452.0,0.9870240489008634,0.16057249730681156,0.547042727470398,30.0,4.582652568817139,408.0441152620633,161.55494421403512,14.79470078640122,1
bg_435,85.89251646799765,28.079717993335255,30.428386688232425,5414.0,0.1249475065375421,0.9921633537931397,-0.0579282492399215,70.0,3.7391419410705566,10854.28026172164,2846.049894151541,15.877522728548133,0
418,85.64893048457074,27.911293474422177,40.198577880859375,1601.0,-0.8671357945921929,-0.4980717957653958,0.2356769144535064,60.0,4.625964164733887,1663.3099530754937,0.0,14.45969244614667,1
