sample_id,longitude,latitude,Slope,Elevation,Aspect,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,removal_reason
393,85.75536061862623,27.857484641752965,72.0574951171875,1107.0,63.54142379760742,0.6248608827590942,10.0,5.343934535980225,120.0,212.13203435596427,13.502193908716265,Slope_iqr_outlier
394,85.75524442331856,27.85868317185659,62.438289642333984,1188.0,116.06226348876953,0.6788147687911987,10.0,5.343934535980225,0.0,161.55494421403512,13.258420207580476,TWI_iqr_outlier
399,85.76762751787453,27.83256541433336,35.00417709350586,1049.0,75.2699966430664,0.474850594997406,10.0,5.8279619216918945,390.0,313.20919526731655,13.744754118409372,Rainfall_iqr_outlier
401,85.58199795115016,27.93673849910318,34.29808807373047,1955.0,175.37767028808594,0.601195216178894,10.0,5.441863059997559,2640.0,0.0,14.868002777231235,Rainfall_iqr_outlier
402,85.58157888026888,27.936650843565165,37.48278045654297,1959.0,166.1760711669922,0.6209757328033447,10.0,5.441863059997559,2610.0,0.0,14.774276753212243,Rainfall_iqr_outlier
403,85.57906727594715,27.93572571936672,41.18292236328125,1859.0,177.5994415283203,0.50569087266922,60.0,5.441863059997559,2310.0,90.0,14.516172487255186,Rainfall_iqr_outlier
405,85.57859553428874,27.935606442465243,43.327022552490234,1829.0,199.28280639648438,0.6090812087059021,60.0,5.441863059997559,2280.0,94.86832980505139,14.475353943056318,Rainfall_iqr_outlier
406,85.56845957655254,27.914506629632992,28.959226608276367,1762.0,263.2803955078125,0.745623767375946,10.0,5.441863059997559,1745.4225849346626,169.7056274847714,14.795413887677842,Rainfall_iqr_outlier
407,85.60323161265487,27.924446528628312,38.804039001464844,2139.0,133.19166564941406,0.8568464517593384,10.0,5.441863059997559,2581.046299468493,330.0,14.794769549842856,Rainfall_iqr_outlier
408,85.6013946592492,27.928208877947743,27.843826293945312,2458.0,161.80987548828125,0.7546468377113342,10.0,5.441863059997559,2938.3158441529054,60.0,15.376899330720624,Rainfall_iqr_outlier
423,85.69691445544329,27.948477165024403,46.23162078857422,2602.0,203.81187438964844,0.5821014046669006,10.0,4.595747470855713,6180.0,1350.3332921912279,14.727695204771704,Road Proximity_iqr_outlier
426,85.68283546055602,28.01634526914785,43.80402755737305,2673.0,243.9707489013672,0.6593168377876282,30.0,4.758371829986572,6837.104650361876,2388.346708499417,14.842995414005262,Road Proximity_iqr_outlier
431,85.62682053593812,28.056744426738515,43.5096549987793,2976.0,134.35935974121094,0.46585628390312195,30.0,4.772528171539307,9148.376905222041,2906.905571221742,14.923701815628975,Road Proximity_iqr_outlier
440,85.82126273702326,27.74812612669185,37.84767150878906,784.0,-0.0,0.6791656613349915,10.0,5.668778419494629,240.0,271.66155414412253,13.982720913306816,Rainfall_iqr_outlier
473,85.52894813690615,28.009867946305164,4.6273674964904785,2100.0,-0.0,0.6226934194564819,30.0,4.726099014282227,8558.469489342122,174.92855684535903,15.446104044059643,Slope_iqr_outlier
478,85.53647300470347,28.028757000998205,20.61309814453125,2392.0,235.98008728027344,0.7751792073249817,10.0,4.726099014282227,10366.725616123926,1647.5436261295179,15.120821447541694,Road Proximity_iqr_outlier
479,85.68292177039872,28.024129328236366,40.782081604003906,2723.0,296.7676696777344,0.7819966077804565,10.0,4.758371829986572,7472.951224248691,3168.0909077865804,15.006877751926563,Road Proximity_iqr_outlier
484,85.58208544955649,28.121796667464952,30.88686752319336,4172.0,79.0802993774414,0.24339689314365387,30.0,3.858997106552124,8251.36352368504,550.7267925205746,15.890802417336744,Elevation_iqr_outlier;Rainfall_iqr_outlier;TWI_iqr_outlier
485,85.58304328701867,28.09498357470134,28.416032791137695,3958.0,153.83908081054688,0.19640764594078064,10.0,4.263921737670898,11250.159998862238,558.0322571321483,15.805665874740253,Elevation_iqr_outlier
486,85.58197607738425,28.04258727214567,32.1627311706543,3053.0,82.60469818115234,0.2710716724395752,60.0,4.835017204284668,9486.121441347881,2016.9283576765931,15.164745575756202,Road Proximity_iqr_outlier
488,85.79026108667699,27.83102423041015,35.28970718383789,1426.0,349.56951904296875,0.7598713636398315,10.0,6.791383266448975,1710.0,30.0,14.525875082737425,Rainfall_iqr_outlier
490,85.79358271177972,27.828997824563835,37.8243293762207,1617.0,343.56463623046875,0.6354259252548218,10.0,6.791383266448975,2070.217379890334,30.0,14.55900615975257,Rainfall_iqr_outlier
491,85.79331946753057,27.828849043757614,37.82432556152344,1637.0,343.5646667480469,0.6005035638809204,10.0,6.791383266448975,2040.2205763103163,30.0,14.555274765417748,Rainfall_iqr_outlier
492,85.79281387050753,27.829359215212456,46.66775131225586,1584.0,353.056884765625,0.48973527550697327,10.0,6.791383266448975,2010.0,67.0820393249937,14.403396534110087,Rainfall_iqr_outlier
