sample_id,longitude,latitude,Slope,Elevation,Aspect,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,landslide
117,85.95058490085708,27.85105210380948,45.274715423583984,2613.0,353.7536926269531,0.6587473154067993,30.0,4.586504936218262,5561.906148075496,937.709976485267,14.775508765486816,1
348,85.65361924663343,27.86839880852052,32.21585464477539,1724.0,261.1330871582031,0.8110425472259521,10.0,4.559855937957764,4249.847056071548,90.0,14.828327482322935,1
829,85.54459337823288,27.84466918820883,19.497398376464844,1152.0,111.45409393310548,0.5301370024681091,10.0,4.967405796051025,870.0,30.0,14.98891558729215,1
752,85.88826966452513,27.857677248739147,38.9105110168457,1631.0,257.2559509277344,0.3505124449729919,60.0,4.586504936218262,708.0254232723568,458.91175622335066,14.525607868770033,1
bg_19,85.68581412112175,27.91128387756285,32.36286544799805,2257.0,4.975016117095947,0.7790356278419495,10.0,4.5489630699157715,5506.941074680208,1026.1578825892243,15.37337945122315,0
bg_643,85.88550960878153,27.64394524900888,12.391741752624512,1820.0,131.53607177734375,0.5033242106437683,10.0,4.343433856964111,8720.458703531598,0.0,15.922836810275912,0
1034,85.57514491707494,28.031157900985257,34.96249771118164,3115.0,161.65553283691406,0.5111209750175476,30.0,4.835017204284668,9016.834255990292,1106.752004741803,15.359984715420364,1
bg_616,85.77582531259053,28.104780989762194,29.993913650512695,4051.0,147.28269958496094,0.24671246111392975,100.0,4.430944442749023,4493.695583815174,1148.2595525402783,15.76574724999332,0
281,85.56316738682418,27.81402927562734,31.89535140991211,1075.0,109.76412963867188,0.4751567840576172,30.0,4.967405796051025,870.0,0.0,14.224731419405757,1
bg_913,85.8688009444969,27.63074001433232,31.718547821044922,1616.0,232.9580841064453,0.6319597363471985,10.0,4.407373905181885,6495.8833117598415,108.16653826391968,14.931590220323054,0
bg_922,86.00408722628531,27.758210953148883,65.54833221435547,2135.0,281.0332336425781,0.8322295546531677,10.0,4.674496173858643,12966.94258489641,169.7056274847714,14.3668455907446,0
481,85.90289111104734,27.781243989861405,39.54546356201172,1094.0,141.64903259277344,0.2865681052207947,30.0,5.216389656066895,408.0441152620633,67.0820393249937,14.571592919620388,1
369,85.51072648469409,27.93077926273894,40.73096466064453,1553.0,175.11753845214844,0.6702017188072205,10.0,4.496346950531006,4092.0043988246152,432.6661530556787,14.260087937495122,1
bg_910,85.67665130522374,27.91882972594945,20.374502182006836,1865.0,290.4075622558594,0.4495578408241272,30.0,4.5489630699157715,4386.570414344218,182.48287590894657,15.487654622759978,0
bg_1009,85.5020188139909,27.951708065348228,28.1633358001709,2430.0,263.05328369140625,0.8593945503234863,10.0,4.546175479888916,5904.743855579173,218.40329667841553,15.402195348483321,0
bg_64,85.70548722584397,28.09346221718229,17.709259033203125,4661.0,59.53931427001953,-0.06629884243011475,100.0,4.176478385925293,5554.53868471541,5613.207639131124,16.49532906412965,0
bg_200,85.90167928389567,28.042258245987476,32.89729690551758,4709.0,47.49325942993164,-0.04779774695634842,70.0,4.106739044189453,8386.54279187795,2190.2054698132774,15.80241387634636,0
bg_87,85.82487332710346,27.90724145878431,29.17464828491211,2730.0,297.64007568359375,0.7954329252243042,10.0,4.945862293243408,5397.416048443922,30.0,15.39873008641473,0
560,85.76720345898084,27.95670263115624,42.67632675170898,2929.0,161.45635986328125,0.6562264561653137,30.0,4.540307521820068,2180.1146758828995,966.0745312862772,15.06551837055982,1
bg_520,86.0469368653378,27.905085502102423,26.08423614501953,3991.0,256.61669921875,0.3011060953140259,30.0,4.051556587219238,11596.697805841108,318.9043743820395,15.91351660979832,0
468,85.52229810682113,28.00181201273138,49.85851287841797,2570.0,149.3209686279297,0.361347496509552,30.0,4.726099014282227,8009.606731918865,766.6159403508383,15.743928845829476,1
654,85.74963524133462,28.0493572904621,32.894866943359375,3080.0,58.29301071166992,0.665726363658905,10.0,4.903069972991943,763.6753236814714,1106.3453348751464,15.285167275879914,1
584,85.76163410837488,27.9082482015252,50.58863067626953,1494.0,111.04852294921876,0.193012848496437,30.0,4.774409770965576,465.7252408878008,42.42640687119285,14.233717067234798,1
954,85.91415762842546,27.91520137362251,57.66682052612305,1899.0,234.2636260986328,0.3844884634017944,10.0,4.404165267944336,424.2640687119285,218.40329667841556,14.000495509923228,1
707,85.96912557985821,27.820842095256985,48.55720520019531,2938.0,203.8299865722656,0.3385170698165893,30.0,4.383127212524414,8057.27621470184,510.8815909777921,14.771773436000698,1
bg_257,85.86853144991167,28.022046152094784,20.14834976196289,4339.0,228.56297302246094,0.21335023641586304,60.0,4.297876358032227,8559.678732288963,1963.1097778779463,16.279171260718297,0
bg_722,85.51064264071844,27.99051528562219,37.95906448364258,2464.0,144.02249145507812,0.8946244716644287,10.0,4.541608810424805,7651.646881554323,201.24611797498108,15.442764158752524,0
506,85.73764530983247,27.87371655637829,46.80823516845703,2075.0,94.35780334472656,0.7358081936836243,10.0,4.696327209472656,1860.0,330.0,14.21815262668687,1
705,85.96421947924958,27.81877427281499,47.54482650756836,2615.0,218.2854156494141,0.7007625699043274,10.0,4.941662311553955,7471.204722131499,931.933474020544,14.70599756937671,1
294,85.57531646397207,27.86961076628737,27.07127571105957,1390.0,104.67776489257812,0.5713022947311401,10.0,5.267827987670898,1574.3570116082312,0.0,15.085035563835469,1
827,85.53227122352239,27.84362312097316,32.53021240234375,1419.0,152.6611328125,0.8003150820732117,10.0,4.967405796051025,1944.453650771856,94.8683298050514,14.619308419285204,1
79,85.56802322654283,27.778729201488275,33.37812805175781,965.0,24.617820739746094,0.6037027835845947,10.0,4.549545764923096,607.4537019394976,42.42640687119285,14.055150201790727,1
904,85.65324319328435,27.83006632670501,31.96147918701172,1558.0,146.1222381591797,0.4720307886600494,10.0,4.497191429138184,7085.209947489207,362.4913792078372,14.83284245241344,1
bg_255,85.6011928213577,27.897809148301054,42.52420425415039,1525.0,93.03538513183594,0.7673524618148804,10.0,5.441863059997559,1699.1762710207556,84.8528137423857,14.760729226613357,0
bg_912,85.75642170245355,28.077562036653372,33.581687927246094,2921.0,167.22817993164062,0.6673474311828613,30.0,4.430944442749023,797.1198153351854,276.5863337187866,15.024313273973435,0
bg_397,85.73540112480515,27.897809148301054,32.36473083496094,1915.0,125.97834777832031,0.7112005949020386,30.0,4.452770709991455,2550.0,30.0,14.634718594652801,0
