Aspect,Slope,LULC,NDVI,Rainfall,TWI
225.0254,30.773,30,0.56526446,4.607892,14.865825448606708
157.43086,40.66206,30,0.4683672,4.607892,14.337990825969433
200.66362,29.723125,30,0.6065999,4.607892,14.775547902552416
181.11755,43.200207,10,0.3503673,4.607892,14.781434083579049
146.35405,33.470295,10,0.8321385,4.607892,14.43086942681408
152.09354,40.726532,10,0.7020535,4.496347,14.503579428219876
73.58483,15.982375,10,0.79868853,4.496347,14.701442457577834
161.07458,48.478725,30,0.59179103,4.496347,14.0976703656581
167.5923,30.82438,30,0.49340084,4.496347,14.536750822293772
168.48842,39.556847,30,0.49550542,4.496347,14.331534554242886
148.5503,35.072113,60,0.37927106,4.496347,14.619784362277732
162.26794,38.017544,30,0.56017107,4.496347,14.577528044102465
111.07943,37.421097,30,0.25786376,4.647837,13.854492169131047
196.50652,35.34086,60,0.44099188,4.496347,14.654264770676994
127.62845,42.033817,10,0.71804875,4.647837,13.729272888788756
130.08997,26.690228,10,0.64768755,4.607892,14.942965763627026
173.85153,34.365097,10,0.49479368,4.607892,14.40341713167419
173.21016,31.777388,60,0.15751667,4.607892,14.712444698934846
176.40433,30.281048,60,0.4022637,4.607892,14.33650660245384
163.36455,41.8422,10,0.79318637,4.607892,14.048493717639069
142.9809,40.41519,10,0.37675005,4.607892,13.875591301158853
148.06612,43.06542,30,0.30112866,4.607892,14.177498772577062
151.63765,38.987556,60,0.13637629,4.607892,13.946687407269978
196.17085,33.31812,10,0.56225425,4.647837,14.47611148172076
146.31456,47.451015,60,0.13637629,4.607892,13.946687407269978
175.02742,32.362766,30,0.15493791,4.607892,14.657363279128202
162.62769,38.561478,30,0.18931834,4.607892,14.737105496178462
235.21764,51.308258,10,0.6068117,4.607892,14.32696121194612
180.0,40.089466,10,0.79389435,4.607892,14.270777523654042
195.30626,46.13848,10,0.39816773,4.607892,14.337539055650772
171.42337,44.486973,10,0.40916222,4.607892,14.252349125675458
161.11984,36.340214,30,0.3472741,5.103636,14.182149723880102
188.0482,27.61683,30,0.26351467,5.103636,14.357759117597745
181.85114,29.547504,30,0.26351467,5.103636,14.357759117597745
132.51273,33.851475,10,0.5024461,5.103636,14.366030068745031
165.5332,43.618935,10,0.6536529,5.103636,14.224606945900646
149.2942,36.983192,30,0.46209264,5.103636,14.541225914350555
138.74063,46.53755,10,0.5000771,4.607892,14.237752013618916
133.85771,49.43512,10,0.5621735,4.607892,13.811478651431148
159.34076,39.706665,10,0.465371,4.607892,14.055124688608624
194.10979,42.02936,60,0.3226014,4.607892,14.611309427635549
149.08334,43.899506,10,0.6579085,4.607892,14.634234740980771
85.698326,40.802666,10,0.80581325,4.607892,14.965925283973355
67.80852,14.421194,30,0.71860665,4.607892,14.8317362076925
10.39689,31.339142,10,0.7604752,4.496347,14.817020247329168
161.09709,52.439983,30,0.4712684,4.496347,14.478289637989484
100.98017,37.412365,10,0.7908041,4.607892,14.866645863484328
128.42204,42.35527,10,0.48750666,4.607892,14.743886501744411
187.39824,44.8778,10,0.53636366,4.496347,14.470377919041368
208.68059,29.769567,10,0.5618196,4.647837,14.527833214325316
118.239204,30.182817,30,0.28119293,4.549546,14.261103255435785
117.957794,31.861624,30,0.52030677,4.549546,14.140627497044385
79.96812,33.043953,30,0.3195418,4.647837,14.224565909708744
55.825783,40.84539,10,0.7128954,4.90307,14.9655034145967
136.90482,32.73625,30,0.65657073,4.647837,14.192089397107818
114.77262,24.872032,30,0.62401867,4.647837,14.426796642861216
290.8913,59.898983,60,0.076358825,5.103636,14.28478284118736
185.5355,29.64968,30,0.16035055,4.804811,14.602751165161306
133.52362,34.2817,30,0.33258027,4.647837,14.316906943367115
134.21207,37.454823,30,0.20847842,4.647837,14.412333384634932
153.1683,34.58058,30,0.20717782,4.647837,14.279678864556406
166.26227,31.657413,30,0.49355894,4.647837,14.406799772073269
109.76413,31.895351,30,0.47515678,4.967406,14.224731419405757
149.18315,34.159523,30,0.17942558,4.3611135,14.503538285132816
174.8334,22.114132,30,0.19279785,4.3611135,14.63406409889902
195.18704,39.985844,60,0.2608255,5.103636,14.146923248197108
137.1028,31.745798,30,0.5164491,5.267828,14.17651558640908
150.51172,32.304913,30,0.43572462,5.267828,14.131548442165393
145.455,24.323828,30,0.28174093,5.267828,14.11629743911622
129.28026,43.411526,10,0.78073645,4.647837,13.67105985099854
131.48409,44.34825,10,0.58293104,4.647837,13.800610457448656
101.97947,25.076872,10,0.47894052,5.267828,14.742774866924927
127.88622,30.110632,60,0.35647044,4.647837,14.31971191668882
104.677765,27.071276,10,0.5713023,5.267828,15.085035563835469
158.61952,24.32239,30,0.17536116,5.267828,14.646257332401516
231.4874,25.076763,30,0.18351594,4.647837,13.986879073802012
199.28993,35.766193,30,0.32124433,4.647837,14.465689568612948
165.5896,20.188452,30,0.26354843,4.4971914,15.290800483506986
122.753525,25.581738,10,0.6674795,4.4971914,14.910378656767415
115.35467,29.554821,30,0.72558594,4.4971914,14.733628296734189
34.370815,36.695545,10,0.8082759,4.1832337,14.80206158791334
163.8671,35.92744,60,0.2611593,4.647837,14.423805211192274
113.8626,35.763927,10,0.7834269,4.263062,14.458448184171312
184.2164,36.74716,10,0.53305703,4.3611135,14.317053570380208
120.93605,33.475224,10,0.6257521,4.263062,14.862886325331258
62.040512,31.86019,30,0.26828578,4.263062,14.30033350421159
118.70526,41.22752,30,0.38130537,4.263062,14.183391157533904
90.0,21.021204,30,0.57464737,4.263062,14.99388811213327
68.96279,24.272774,10,0.65021676,4.263062,14.422231170632594
95.94156,32.027187,30,0.39178082,4.263062,14.426399353952348
98.16351,34.372025,30,0.2590644,4.263062,14.51011099111763
166.89088,29.471272,10,0.5902644,4.6264033,15.19084363183669
197.37215,38.56145,10,0.6742438,4.6264033,14.799971929021826
195.78925,36.508472,10,0.5027283,4.6264033,14.745803673551636
153.0247,36.00061,10,0.56825536,4.6264033,14.91331322701814
146.01006,45.43302,10,0.678501,4.6264033,14.24971165741236
108.92508,43.480335,10,0.56432194,4.6042256,14.454982743275314
153.94006,33.692608,30,0.4803667,4.6042256,14.53632784462554
144.13293,50.625137,30,0.3603826,4.6042256,13.946407474132052
109.480316,21.222794,10,0.68999046,4.6042256,14.511964263855493
87.798096,40.119217,10,0.65801525,4.6042256,14.646689819000402
87.18731,33.415604,10,0.57592434,4.6042256,14.85484252812353
91.20623,37.559418,10,0.58608526,4.6042256,14.507746473144042
70.519226,41.144608,10,0.7598049,4.6042256,14.34612054135906
57.9363,27.401657,10,0.65204,4.6042256,14.933787556482208
63.729477,41.275455,10,0.7257443,4.6042256,14.4264022441486
134.50168,34.715805,10,0.65511376,4.6042256,14.57416666419644
230.4633,35.45195,10,0.78957,4.4971914,14.371424068141955
