longitude,latitude,Aspect,Slope,LULC,NDVI,Rainfall,TWI
85.51878533321653,27.891967553473908,225.0254,30.773,30,0.56526446,4.607892,14.865825448606708
85.51663888227112,27.89131254539897,157.43086,40.66206,30,0.4683672,4.607892,14.337990825969433
85.51700543549823,27.89100352096508,200.66362,29.723125,30,0.6065999,4.607892,14.775547902552416
85.51018617294528,27.890999140574237,181.11755,43.200207,10,0.3503673,4.607892,14.781434083579047
85.50910307409681,27.89252979970187,146.35405,33.470295,10,0.8321385,4.607892,14.43086942681408
85.50960795785059,27.8936012638976,152.09354,40.726532,10,0.7020535,4.496347,14.503579428219876
85.51096512894931,27.89440009111713,73.58483,15.982375,10,0.79868853,4.496347,14.701442457577834
85.51154522489664,27.895807322855187,161.07458,48.478725,30,0.59179103,4.496347,14.0976703656581
85.49946860673622,27.89358436374912,167.5923,30.82438,30,0.49340084,4.496347,14.536750822293772
85.50018394578669,27.89390609492948,168.48842,39.556847,30,0.49550542,4.496347,14.331534554242886
85.50106779467288,27.8929828637065,148.5503,35.072113,60,0.37927106,4.496347,14.619784362277732
85.50256438539242,27.893020730216268,162.26794,38.017544,30,0.56017107,4.496347,14.577528044102463
85.57642720491006,27.83680086797774,111.07943,37.421097,30,0.25786376,4.647837,13.854492169131047
85.49317173455192,27.89499973385234,196.50652,35.34086,60,0.44099188,4.496347,14.654264770676994
85.57707732820586,27.83904990932185,127.62845,42.033817,10,0.71804875,4.647837,13.729272888788756
85.48900282259589,27.887524428408177,130.08997,26.690228,10,0.64768755,4.607892,14.942965763627026
85.49632896408595,27.860698430439463,173.85153,34.365097,10,0.49479368,4.607892,14.40341713167419
85.49629664344938,27.859526683615368,173.21016,31.777388,60,0.15751667,4.607892,14.712444698934846
85.49705766478658,27.8595437487134,176.40433,30.281048,60,0.4022637,4.607892,14.33650660245384
85.50492633119929,27.861645147803763,163.36455,41.8422,10,0.79318637,4.607892,14.048493717639069
85.50408356513637,27.86126600726736,142.9809,40.41519,10,0.37675005,4.607892,13.875591301158853
85.50313539176494,27.86077694509608,148.06612,43.06542,30,0.30112866,4.607892,14.177498772577062
85.50364640704828,27.860934238572604,151.63765,38.987556,60,0.13637629,4.607892,13.946687407269978
85.56659195687534,27.841065482044343,196.17085,33.31812,10,0.56225425,4.647837,14.476111481720759
85.50386358181946,27.86112688515545,146.31456,47.451015,60,0.13637629,4.607892,13.946687407269978
