Aspect,DEM,Slope,LULC,NDVI,Rainfall,TWI,River,Road
246.12318,1967,34.210606,30,0.16989419,4.370652,14.83472677236529,7302.08874227094,0.0
256.018,1979,31.089102,30,0.43267503,4.370652,15.066837262362451,7386.155969108694,30.0
343.4397,800,32.690525,10,0.38373643,4.7094727,13.992253302243816,0.0,30.0
261.1315,1066,32.211266,10,0.6291313,4.586505,14.515459131445748,0.0,84.8528137423857
279.8762,2403,48.556446,30,0.36433837,4.780184,14.604459047890815,5414.397473403666,0.0
251.00247,1477,19.19274,10,0.7933475,4.370652,15.148137486829055,5736.906832082947,722.4956747275378
205.83067,1648,14.1325035,30,0.6019271,4.370652,15.69239023685778,6891.908298867593,283.0194339616981
241.58572,2540,48.30647,10,0.70286214,4.370652,14.827926204322033,7937.820859656635,218.40329667841556
252.59087,2455,42.60727,10,0.7569328,4.370652,14.800501726373264,8286.301949603332,351.1409973215888
262.58194,2429,51.42537,10,0.65475637,4.370652,14.440924999593008,8356.440629837563,360.0
190.11111,2269,31.998774,10,0.7441777,4.370652,14.67542252300408,9025.563694307408,192.09372712298543
215.62634,1841,39.232502,30,0.25670296,5.2163897,14.284499255544684,3162.5464423467365,120.0
189.43552,1904,48.1344,30,0.25147527,5.2163897,14.349965983681484,3228.8697712976905,120.0
242.18643,1885,47.083126,30,0.36307564,5.2163897,14.312084894107,3316.051869316884,134.1640786499874
20.227312,2548,38.43477,10,0.77559054,4.780184,14.839663285115147,6078.758096848402,954.829827770373
3.0322597,2194,46.053574,10,0.82510823,5.2163897,14.57616845194276,3949.645553717447,400.24992192379
357.91223,1960,45.12316,10,0.79620034,5.2163897,14.538689077053258,3603.1236448392942,361.2478373637689
327.07388,1973,59.774517,10,0.68701553,5.2163897,14.064541377174145,3208.87830869293,94.8683298050514
311.50314,1499,27.157692,10,0.4519573,5.2163897,14.805248152901951,2621.011255221923,240.0
24.074816,1687,37.3216,10,0.587793,5.2163897,14.770445827053909,2887.8019322661307,30.0
348.91245,1971,58.25942,10,0.8010949,4.780184,14.023181142752538,6915.374176427476,123.69316876852982
37.76158,2231,35.6279,10,0.85515547,4.780184,14.99713198856943,7552.436692882636,127.27922061357854
322.63257,898,37.00244,10,0.6754855,5.3619227,13.971711230284962,60.0,0.0
186.44847,1336,33.089615,30,0.31438348,4.3611135,14.366576465086316,3013.171087077533,0.0
259.96396,1102,39.89602,10,0.7064897,4.263062,14.088466618108235,5092.317743424894,60.0
104.68837,1374,56.869225,10,0.5767801,4.5418735,13.888295132791733,5400.0,94.8683298050514
147.27528,1055,44.460304,30,0.46787903,4.3611135,13.79832510966304,3012.723020790328,30.0
106.43282,1062,53.939762,10,0.7463515,4.263062,14.078901549896932,5509.718686103674,108.16653826391968
114.53734,1135,31.950829,10,0.7301868,4.4971914,13.980012516693384,7940.994899885026,400.24992192379
132.47052,1849,34.809246,10,0.60411114,4.496347,14.707124554989964,5880.0,228.4731931759173
104.57066,1784,17.834545,10,0.819016,4.496347,15.09723980659695,5711.357106677886,30.0
118.91547,1793,26.665186,10,0.7075438,4.496347,15.073819949651304,5580.0,123.69316876852982
175.86871,2271,37.336655,10,0.69491524,4.496347,14.998296277575964,5938.560431619771,60.0
186.09354,2316,40.78851,10,0.7178757,4.496347,14.807842053950043,5624.419970094694,30.0
172.14308,2037,33.821613,30,0.5731629,4.496347,14.793873797467311,5563.281405789213,30.0
151.00351,1958,42.20421,10,0.7007313,4.496347,14.592822948755778,5426.352366000572,60.0
164.20448,1940,31.2003,10,0.69736093,4.496347,15.102296987374476,5418.0531558854245,108.16653826391968
142.97418,1091,38.335915,10,0.48507172,5.103636,14.13768915026156,510.8815909777921,0.0
163.82262,1106,33.31899,30,0.4834244,5.103636,14.206649256085852,782.3042886243179,42.42640687119285
154.1322,1142,32.197067,30,0.4798651,5.103636,14.266166376563955,1472.7525250360293,0.0
165.74924,1190,39.29636,30,0.5966574,5.103636,14.246583549833474,1838.831150486635,30.0
176.84111,1201,33.612328,30,0.38400432,5.103636,14.410125655907564,1931.4502323383847,0.0
171.02898,1200,35.17214,30,0.46890044,5.103636,14.164260737971809,1871.81729877678,30.0
166.73654,1494,38.60063,10,0.5891892,4.607892,14.36042974726038,2400.0,0.0
168.37546,1512,36.023785,30,0.5251054,4.607892,14.505023200231292,2370.0,30.0
181.70549,1591,31.608469,30,0.36541063,4.496347,14.561947230160836,2280.0,60.0
195.00133,1548,32.49057,10,0.55368716,5.2217073,14.701363453385786,1980.0,42.42640687119285
201.31314,1458,26.743933,30,0.54208755,4.607892,14.872321680907296,2100.0,30.0
229.73509,1460,29.944399,10,0.5795574,4.607892,14.743648665073486,2130.0,30.0
